Leaf Structure Index,Chlorophyll index,Water index,Cellulose Absorption Index,Nitrogen Related Index NRI1510,Nitrogen Related Index NRI850,Disease Water Stress Index 1,Disease Water Stress Index 2,Disease Water Stress Index 3,Disease Water Stress Index 4,Chlorophyll content
9.961670620000000476e-01,3.530221646000000213e+00,1.045786800000000037e-02,-4.077450710000000145e-01,5.337694530000000048e-01,7.655631830000000360e-01,1.396368899000000052e+00,2.834401979999999988e+00,5.533600734000000188e+00,1.952299205000000093e+00,1.193194229999999939e-01
1.006093861000000089e+00,3.974528578000000145e+00,1.009062500000000064e-02,-4.073504539999999730e-01,5.302337910000000099e-01,7.732395600000000480e-01,1.433345427999999977e+00,3.153917735999999916e+00,5.259326135000000235e+00,1.667553365000000065e+00,1.152947960000000049e-01
9.773557720000000115e-01,3.361831313000000154e+00,1.446419900000000050e-02,-4.362429349999999983e-01,4.454509420000000164e-01,7.611389119999999453e-01,1.532754922999999936e+00,2.446050329999999828e+00,5.160923845000000121e+00,2.109900920999999929e+00,1.231702789999999936e-01
9.973767810000000456e-01,3.806146038000000065e+00,1.132084499999999952e-02,-4.340619310000000119e-01,5.183677469999999898e-01,7.744066280000000413e-01,1.451444497000000000e+00,2.964405361999999933e+00,5.471573079999999756e+00,1.845757381999999946e+00,1.144310719999999948e-01
9.816204619999999714e-01,3.487738043999999871e+00,1.202291800000000049e-02,-4.210783630000000111e-01,5.005851860000000153e-01,7.582004970000000288e-01,1.407387694999999939e+00,2.744756911000000077e+00,5.261058089999999687e+00,1.916766497000000014e+00,1.227213620000000005e-01
9.959504780000000279e-01,4.455465217000000422e+00,9.280366999999999436e-03,-4.419070339999999764e-01,6.078320240000000263e-01,8.142629099999999509e-01,1.402317998000000010e+00,3.682120455999999820e+00,6.745160194000000331e+00,1.831868422999999968e+00,1.274816310000000119e-01
9.971841030000000439e-01,3.717424258999999953e+00,9.555427000000000018e-03,-3.844871120000000198e-01,5.102954149999999744e-01,7.548290970000000044e-01,1.394951800000000075e+00,3.058984317999999814e+00,5.128047911000000347e+00,1.676389082000000030e+00,1.057757720000000040e-01
9.970217869999999927e-01,3.281062685000000201e+00,1.173882400000000013e-02,-3.996765059999999870e-01,4.854834479999999841e-01,7.499680539999999951e-01,1.461253925000000065e+00,2.480584345000000024e+00,5.038588876999999577e+00,2.031210463999999938e+00,1.211629889999999987e-01
9.989213270000000255e-01,3.689485796000000040e+00,1.404985800000000014e-02,-4.230398699999999845e-01,4.392747710000000083e-01,7.634489399999999648e-01,1.562273113000000047e+00,2.706311621999999861e+00,4.883812887999999575e+00,1.804601083999999966e+00,1.115179159999999947e-01
9.820921310000000348e-01,3.154996200999999889e+00,1.056245899999999974e-02,-4.189362970000000130e-01,5.174031700000000233e-01,7.583613080000000117e-01,1.408096841000000099e+00,2.421132987000000014e+00,5.336465996000000267e+00,2.204119320999999854e+00,1.326259780000000055e-01
1.002875001999999904e+00,3.941277577000000143e+00,1.291212400000000052e-02,-4.177025890000000130e-01,4.782193350000000232e-01,7.654935680000000131e-01,1.496328936000000054e+00,3.141478109999999990e+00,5.067421160000000313e+00,1.613069065999999996e+00,8.641357400000000688e-02
9.952710139999999539e-01,3.749965011000000015e+00,1.155542799999999953e-02,-4.337664809999999815e-01,5.231703089999999445e-01,7.784319910000000453e-01,1.440841566000000018e+00,2.918752385999999976e+00,5.579382021999999886e+00,1.911564011999999924e+00,1.217310360000000008e-01
9.970830290000000096e-01,4.226201337000000002e+00,1.019389300000000075e-02,-3.995659389999999811e-01,5.135625999999999802e-01,7.670918650000000394e-01,1.426532146000000001e+00,3.532189187999999813e+00,5.155115804000000246e+00,1.459467636000000068e+00,8.760020799999999885e-02
9.978508289999999947e-01,3.576545261000000142e+00,1.248271599999999960e-02,-4.116985329999999776e-01,4.634252349999999909e-01,7.557463100000000322e-01,1.491378502000000106e+00,2.752337165000000141e+00,4.818778795000000059e+00,1.750795235000000005e+00,1.074054279999999972e-01
9.777542519999999904e-01,3.034899081999999915e+00,1.115472399999999954e-02,-3.894865410000000194e-01,4.820621039999999913e-01,7.339039040000000513e-01,1.416169234999999915e+00,2.309006308999999924e+00,4.842700894000000034e+00,2.097309511999999820e+00,1.230945279999999947e-01
9.764938229999999830e-01,2.938013181000000085e+00,1.006365099999999985e-02,-4.241107809999999922e-01,5.366592340000000405e-01,7.642863340000000116e-01,1.378241639999999935e+00,2.263824492999999993e+00,5.874524933000000004e+00,2.594955992000000045e+00,1.474569900000000100e-01
9.754023219999999883e-01,3.251612512999999982e+00,1.291835399999999995e-02,-4.021328670000000050e-01,4.700605950000000255e-01,7.413120530000000263e-01,1.447822468000000029e+00,2.456979680999999971e+00,4.799458065999999690e+00,1.953397540000000099e+00,1.173395779999999999e-01
9.790506610000000443e-01,3.497420387000000019e+00,1.142952499999999941e-02,-4.255890010000000223e-01,5.153223120000000046e-01,7.670710050000000280e-01,1.432156486000000006e+00,2.728033030999999831e+00,5.523807627000000053e+00,2.024831650999999955e+00,1.219884219999999991e-01
1.006588237999999969e+00,3.498254193999999817e+00,9.831944000000000447e-03,-4.023998630000000243e-01,5.064776170000000466e-01,7.556530930000000534e-01,1.426020459999999934e+00,2.763613658000000139e+00,5.256369214000000234e+00,1.901991328999999897e+00,1.009319719999999948e-01
9.995011830000000153e-01,3.765231750999999960e+00,1.074864099999999975e-02,-3.994437470000000157e-01,4.830498449999999777e-01,7.519776590000000205e-01,1.456959225000000080e+00,3.074998561000000130e+00,4.918568922999999593e+00,1.599535356999999935e+00,8.646765800000000279e-02
9.783775099999999503e-01,3.628304718999999956e+00,1.050501199999999934e-02,-3.881287959999999981e-01,4.982350549999999823e-01,7.475114299999999767e-01,1.434533920000000018e+00,2.918285877000000195e+00,4.882030568000000237e+00,1.672910322999999977e+00,9.755811999999999817e-02
1.004325206000000081e+00,3.619502289000000150e+00,9.573992999999999393e-03,-3.669144200000000189e-01,4.969451220000000169e-01,7.335243120000000117e-01,1.377744729000000001e+00,3.121393824000000095e+00,4.685715104999999880e+00,1.501161138000000062e+00,8.753058399999999462e-02
1.008900362999999967e+00,4.074380741999999778e+00,1.065835799999999972e-02,-3.968022110000000158e-01,5.292152620000000196e-01,7.726644280000000142e-01,1.433681806000000059e+00,3.316674374999999841e+00,5.281514543000000117e+00,1.592412743999999991e+00,1.063325539999999958e-01
9.953257660000000007e-01,3.551387892999999796e+00,1.342143299999999997e-02,-3.990370469999999781e-01,4.588738920000000054e-01,7.533243729999999916e-01,1.491885544000000063e+00,2.735814727000000168e+00,4.956974710999999978e+00,1.811882457999999918e+00,1.049638759999999976e-01
1.006619828999999910e+00,4.774605622000000160e+00,9.850677000000000391e-03,-4.343068740000000094e-01,6.012452350000000445e-01,8.139092869999999813e-01,1.430369575999999920e+00,3.923353448999999937e+00,6.417191932999999793e+00,1.635639515000000044e+00,1.173809100000000050e-01
1.003839456999999991e+00,4.575517816999999710e+00,9.672698999999999880e-03,-4.480474830000000241e-01,5.822171430000000480e-01,8.099886130000000239e-01,1.436641716000000013e+00,3.839478302999999926e+00,6.683986799000000367e+00,1.740858073000000061e+00,1.062232330000000002e-01
9.942914050000000170e-01,3.662335999000000175e+00,9.861062999999999773e-03,-3.972915040000000175e-01,5.184401560000000408e-01,7.573615129999999862e-01,1.366204434999999995e+00,3.065864515999999984e+00,5.361571325999999971e+00,1.748795909999999898e+00,1.076383640000000003e-01
9.998727189999999654e-01,3.498159543999999954e+00,1.230695000000000053e-02,-4.118392060000000132e-01,4.876868750000000197e-01,7.543272210000000477e-01,1.462312878000000094e+00,2.769850560000000073e+00,5.250763644000000063e+00,1.895684813999999996e+00,9.711764700000000139e-02
9.943703739999999458e-01,3.638779701999999894e+00,8.310378000000000209e-03,-3.887744859999999747e-01,5.445300239999999459e-01,7.577142669999999969e-01,1.361347619000000009e+00,3.075601365999999892e+00,5.477976133000000303e+00,1.781107328000000045e+00,1.024832070000000067e-01
9.903462309999999658e-01,3.669414450000000105e+00,9.723743999999999443e-03,-4.004584809999999773e-01,5.496795279999999728e-01,7.711435850000000203e-01,1.391667471000000100e+00,3.013986640000000161e+00,5.859136731999999625e+00,1.943982316999999904e+00,1.086039850000000001e-01
9.994951890000000061e-01,3.634922416999999850e+00,1.529791299999999979e-02,-4.313067979999999912e-01,4.190093919999999805e-01,7.601781819999999801e-01,1.565300525000000054e+00,2.778882606999999894e+00,4.907485139000000274e+00,1.765992247000000015e+00,9.585172200000000031e-02
9.707716530000000121e-01,3.264427989000000085e+00,1.025414699999999991e-02,-4.472510089999999772e-01,5.547223740000000181e-01,7.826992449999999879e-01,1.402662120000000012e+00,2.511248380000000058e+00,6.212267695999999617e+00,2.473776685999999891e+00,1.480993090000000123e-01
1.005487738000000020e+00,3.492814845999999918e+00,8.481255999999999518e-03,-3.874319640000000176e-01,5.575633580000000089e-01,7.655716580000000437e-01,1.371648846000000033e+00,2.874302241000000091e+00,5.703327264000000341e+00,1.984247579000000039e+00,1.171314029999999951e-01
9.831691679999999822e-01,4.464449691999999636e+00,1.207391499999999930e-02,-4.498334540000000215e-01,5.479106679999999896e-01,8.046499539999999451e-01,1.483235234999999985e+00,3.499892476999999946e+00,5.991260942000000256e+00,1.711841429999999997e+00,1.191108709999999932e-01
9.973939000000000554e-01,3.943505213999999981e+00,1.137143399999999971e-02,-4.111420439999999843e-01,4.910223109999999891e-01,7.692503760000000135e-01,1.482025696000000003e+00,3.052274822000000221e+00,5.073287531000000072e+00,1.662133269999999996e+00,1.098096120000000009e-01
9.906209670000000189e-01,3.287082686999999837e+00,8.200907000000000335e-03,-3.477571899999999938e-01,5.249582029999999566e-01,7.279414189999999785e-01,1.318520227999999905e+00,2.838977905000000135e+00,5.042738477000000330e+00,1.776251398999999953e+00,9.578208600000000239e-02
9.885757670000000497e-01,4.157219269999999689e+00,1.074217600000000085e-02,-4.024654320000000118e-01,5.215862300000000396e-01,7.651032559999999538e-01,1.394879200999999957e+00,3.514797054999999837e+00,5.254793038999999943e+00,1.495048777000000051e+00,9.326070300000000035e-02
9.918394969999999589e-01,3.814612957000000026e+00,1.311493099999999981e-02,-4.123249290000000067e-01,5.032055050000000529e-01,7.702914509999999604e-01,1.471490337999999953e+00,3.006570958999999821e+00,5.248785800000000279e+00,1.745771468999999909e+00,1.044829349999999990e-01
9.832622490000000326e-01,3.699871144999999917e+00,1.137118900000000030e-02,-4.022328230000000171e-01,4.989054030000000250e-01,7.594831950000000553e-01,1.431662046000000021e+00,2.972618179999999999e+00,5.221432156999999741e+00,1.756509528000000042e+00,1.099978800000000062e-01
9.861187300000000544e-01,3.309713545999999784e+00,1.204232400000000008e-02,-3.869893059999999774e-01,4.685600779999999910e-01,7.343446860000000243e-01,1.431673911000000077e+00,2.571709278000000154e+00,4.627573446000000423e+00,1.799415465000000047e+00,1.111740880000000042e-01
9.959911280000000033e-01,4.298504527000000408e+00,1.019764899999999960e-02,-4.189821839999999797e-01,5.467679570000000266e-01,7.856415820000000050e-01,1.431434593999999949e+00,3.510214602000000017e+00,5.695485621000000442e+00,1.622546272999999983e+00,1.079507269999999963e-01
9.852547510000000397e-01,3.302214156999999872e+00,1.297800099999999943e-02,-3.788284989999999852e-01,4.466998560000000063e-01,7.212081729999999524e-01,1.453190568999999988e+00,2.598617684999999788e+00,4.346051809000000432e+00,1.672447561000000027e+00,9.159028099999999561e-02
9.944024970000000518e-01,5.100781400999999882e+00,1.081454100000000043e-02,-4.722722080000000267e-01,5.995074550000000224e-01,8.312769340000000229e-01,1.477702496000000032e+00,4.312128655999999616e+00,6.946396206000000184e+00,1.610897253000000084e+00,1.068342260000000044e-01
9.978350839999999833e-01,3.973464302000000004e+00,9.182894000000000473e-03,-3.930876770000000242e-01,5.238587609999999506e-01,7.619037870000000545e-01,1.384557942999999902e+00,3.409488586999999793e+00,5.288711039999999919e+00,1.551174290999999927e+00,9.543144600000000310e-02
9.828687459999999598e-01,3.959014494999999911e+00,1.057840300000000011e-02,-4.160809160000000229e-01,5.351487609999999728e-01,7.734983640000000493e-01,1.419190895000000063e+00,3.246899146000000069e+00,5.460918573999999914e+00,1.681887342000000007e+00,1.037499409999999983e-01
9.805395909999999882e-01,3.442919601999999912e+00,1.046579299999999928e-02,-4.450860870000000191e-01,5.408703099999999653e-01,7.779533979999999627e-01,1.409854995000000111e+00,2.689269925000000061e+00,5.842023614000000364e+00,2.172345571999999780e+00,1.358578239999999882e-01
9.824870650000000483e-01,3.690115712999999964e+00,1.043935500000000086e-02,-4.097223750000000275e-01,5.388208490000000461e-01,7.675174719999999784e-01,1.408617221000000086e+00,3.052798069000000059e+00,5.735672991000000387e+00,1.878824888000000026e+00,1.040810850000000037e-01
9.723278629999999589e-01,3.505071022000000092e+00,1.148292899999999936e-02,-4.136374629999999830e-01,4.915467399999999820e-01,7.577322619999999898e-01,1.447777603000000024e+00,2.739378873999999797e+00,5.118184321000000203e+00,1.868374020999999940e+00,1.175909230000000000e-01
9.804563720000000204e-01,3.700897192999999863e+00,1.164979399999999977e-02,-4.245188300000000137e-01,5.237616120000000430e-01,7.655490780000000495e-01,1.417277491999999972e+00,2.991994130000000141e+00,5.390388082000000303e+00,1.801603829000000045e+00,1.067155340000000008e-01
9.738822440000000080e-01,3.827214688999999836e+00,1.102882099999999942e-02,-4.262481180000000092e-01,5.154708789999999929e-01,7.686408319999999961e-01,1.440319101000000046e+00,3.082369948999999831e+00,5.393358752000000145e+00,1.749744138999999921e+00,9.891622899999999441e-02
9.768084360000000022e-01,3.468043742999999957e+00,1.367321300000000003e-02,-4.817822460000000251e-01,4.962858969999999759e-01,7.960313829999999813e-01,1.536436584999999910e+00,2.486592028000000010e+00,6.094285275999999918e+00,2.450858527999999925e+00,1.438270500000000118e-01
1.005857054000000028e+00,3.783432794999999960e+00,1.019146500000000025e-02,-3.830052979999999940e-01,5.042728020000000200e-01,7.478552979999999462e-01,1.395905739999999895e+00,3.139354028000000074e+00,4.887861169999999866e+00,1.556963988999999993e+00,9.758923199999999798e-02
1.007562078999999944e+00,3.579993034000000129e+00,9.554764000000000312e-03,-3.685796310000000187e-01,5.259877330000000129e-01,7.517808099999999660e-01,1.387673374000000015e+00,3.023969630999999936e+00,5.243551908999999789e+00,1.733996220000000088e+00,1.006086910000000001e-01
9.866066199999999897e-01,3.788524633000000197e+00,1.015813299999999975e-02,-4.368469090000000055e-01,5.679117110000000412e-01,7.922313960000000321e-01,1.398353125000000086e+00,3.054530306000000195e+00,6.272595227000000051e+00,2.053538382999999801e+00,1.296422680000000049e-01
1.001744380999999962e+00,3.664969928000000099e+00,9.655307999999999599e-03,-3.934959190000000273e-01,5.161566490000000229e-01,7.522114770000000172e-01,1.384894319999999901e+00,3.038189473000000085e+00,5.161319437000000399e+00,1.698814205999999993e+00,1.046292100000000003e-01
1.004109375999999942e+00,3.692458054999999906e+00,9.254292000000000767e-03,-3.878191160000000193e-01,5.186794219999999456e-01,7.491070199999999568e-01,1.366893579000000081e+00,3.172233878000000118e+00,5.051723671999999610e+00,1.592481470999999926e+00,9.835025899999999544e-02
1.001261240000000052e+00,3.783003828000000013e+00,9.595354999999999857e-03,-3.991684469999999818e-01,5.362366979999999561e-01,7.646113169999999570e-01,1.392614790000000102e+00,3.109952443000000066e+00,5.419251630999999847e+00,1.742551286999999949e+00,1.111288400000000065e-01
9.978888019999999637e-01,4.091775393999999899e+00,1.133213100000000050e-02,-4.045346830000000060e-01,5.177690050000000044e-01,7.648797429999999453e-01,1.433569408000000101e+00,3.286935504000000119e+00,5.078972353000000162e+00,1.545199881999999914e+00,9.823077199999999398e-02
1.010334354000000046e+00,3.654013412999999932e+00,1.282863199999999954e-02,-4.079271460000000182e-01,4.572906860000000018e-01,7.512008940000000079e-01,1.502331886999999977e+00,2.879532360999999874e+00,4.865116632000000330e+00,1.689550949000000024e+00,8.959491499999999720e-02
1.005415163999999972e+00,3.949499488999999919e+00,1.145773999999999924e-02,-4.284014879999999970e-01,5.030807579999999612e-01,7.765738349999999901e-01,1.465255234000000018e+00,3.222887585000000055e+00,5.485049510999999711e+00,1.701905315000000085e+00,1.045542680000000058e-01
9.855240459999999869e-01,3.177876662000000074e+00,1.333631700000000031e-02,-3.341973950000000082e-01,3.051808129999999952e-01,6.604940320000000087e-01,1.504307512000000013e+00,2.499540533999999870e+00,3.333459878000000209e+00,1.333629053999999980e+00,3.825285300000000333e-02
9.863728000000000495e-01,3.818259702999999838e+00,1.262329899999999928e-02,-4.381806089999999987e-01,5.105799580000000004e-01,7.805010319999999835e-01,1.493657766999999970e+00,2.968611558000000095e+00,5.626743119000000348e+00,1.895412386999999921e+00,1.107803289999999968e-01
9.910844180000000225e-01,3.306875006999999922e+00,1.111611399999999986e-02,-3.920926989999999890e-01,5.234675989999999501e-01,7.596985929999999776e-01,1.427183721000000016e+00,2.567426612000000219e+00,5.413542221000000154e+00,2.108547989999999928e+00,1.195656920000000012e-01
1.017916054000000070e+00,3.900764210999999815e+00,1.027279900000000086e-02,-4.258372919999999784e-01,5.130854000000000248e-01,7.761720920000000357e-01,1.466464771999999916e+00,3.131008521000000044e+00,5.487422049000000079e+00,1.752605275000000074e+00,1.068740440000000014e-01
9.938607670000000338e-01,3.840212321000000095e+00,8.817849000000000867e-03,-4.062467599999999845e-01,5.661593719999999941e-01,7.783193889999999726e-01,1.365040274999999914e+00,3.230331130999999800e+00,5.910407765000000424e+00,1.829660032999999908e+00,1.144589679999999943e-01
9.734560899999999961e-01,3.883350241000000036e+00,1.234314499999999981e-02,-4.521106520000000017e-01,5.406132019999999594e-01,7.937980380000000391e-01,1.464965854999999983e+00,2.988353803999999947e+00,5.988411400999999579e+00,2.003916467999999895e+00,1.302820759999999967e-01
1.020696492999999982e+00,4.232704466000000387e+00,8.515088999999999991e-03,-4.138898839999999857e-01,5.770519090000000295e-01,7.918954879999999807e-01,1.402186399999999944e+00,3.630079861000000019e+00,6.118335760999999984e+00,1.685454865000000080e+00,1.018709839999999978e-01
1.007725465999999903e+00,3.593194156000000028e+00,8.905322000000000238e-03,-3.760513269999999908e-01,5.499434629999999657e-01,7.634595549999999564e-01,1.372233196999999905e+00,2.992348184999999994e+00,5.527369762000000186e+00,1.847167983000000069e+00,1.165199529999999956e-01
9.916263260000000024e-01,3.732466225000000026e+00,1.230786700000000011e-02,-4.285187340000000122e-01,5.316819249999999997e-01,7.897550180000000308e-01,1.496487531999999954e+00,2.769414972999999947e+00,5.800855046999999765e+00,2.094613881999999982e+00,1.350062380000000006e-01
9.942753349999999823e-01,4.238856655000000195e+00,1.022394000000000081e-02,-4.469764560000000220e-01,5.701635390000000525e-01,7.996330579999999522e-01,1.424450361000000109e+00,3.461566068000000218e+00,6.233483396999999648e+00,1.800769730999999929e+00,1.214268619999999965e-01
1.012266992999999893e+00,3.400018301999999881e+00,1.062849800000000011e-02,-4.043904460000000145e-01,4.755228650000000168e-01,7.412807479999999893e-01,1.428977519999999890e+00,2.733610010000000035e+00,4.981089893000000046e+00,1.822165515000000013e+00,9.889334099999999572e-02
9.874687840000000438e-01,2.582456870000000126e+00,1.231109199999999917e-02,-4.231687259999999950e-01,4.191798899999999994e-01,7.259952760000000227e-01,1.488745100000000043e+00,1.820044479000000104e+00,4.648899314000000338e+00,2.554277858999999928e+00,1.372544129999999918e-01
9.892145089999999641e-01,2.743331906999999958e+00,1.109434100000000062e-02,-3.713410369999999849e-01,4.613761760000000267e-01,7.161360089999999623e-01,1.404036145999999929e+00,2.099961430000000018e+00,4.672609608000000136e+00,2.225093062000000010e+00,1.213224990000000003e-01
1.016047774000000015e+00,4.450337123999999811e+00,8.521683000000000383e-03,-4.288137550000000187e-01,5.557841239999999905e-01,7.940651610000000193e-01,1.432868271000000027e+00,3.806185415999999933e+00,5.966484851999999783e+00,1.567575984999999950e+00,9.201194499999999776e-02
9.859670969999999590e-01,3.662167633000000144e+00,1.128116399999999978e-02,-4.325674910000000262e-01,4.904357560000000005e-01,7.688031210000000337e-01,1.493252852999999991e+00,2.905208909000000173e+00,5.631989306000000362e+00,1.938583241999999984e+00,9.044341000000000186e-02
9.724078720000000065e-01,2.880653280999999843e+00,1.046139500000000007e-02,-4.253876349999999862e-01,5.291223419999999678e-01,7.620981399999999795e-01,1.388289330999999960e+00,2.216855487000000124e+00,5.750120518000000125e+00,2.593818383999999977e+00,1.430022139999999886e-01
9.727107729999999730e-01,2.642992737000000147e+00,8.834497999999999657e-03,-3.806110779999999916e-01,5.139732040000000168e-01,7.231939090000000236e-01,1.306054502000000062e+00,2.135304446000000134e+00,5.287812607000000220e+00,2.476374090999999833e+00,1.206384959999999978e-01
9.934138000000000135e-01,2.619674880999999900e+00,1.201458199999999935e-02,-4.166728080000000056e-01,4.467515129999999890e-01,7.297246790000000427e-01,1.453858399000000023e+00,1.885147412000000022e+00,4.774216776000000273e+00,2.532542943000000157e+00,1.361505410000000138e-01
1.019603484999999976e+00,4.061428647999999697e+00,8.742823999999999735e-03,-4.071111989999999792e-01,5.633076420000000528e-01,7.844302840000000332e-01,1.393428238999999902e+00,3.448944529999999897e+00,5.897291791999999866e+00,1.709883049999999960e+00,1.054197489999999932e-01
9.969399500000000192e-01,3.867450219999999828e+00,8.943036999999999168e-03,-3.983248710000000248e-01,5.122495289999999812e-01,7.596096979999999999e-01,1.428963552999999997e+00,3.200078811000000023e+00,5.048692869999999999e+00,1.577677666000000034e+00,9.267406400000000044e-02
